Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1682553600000,2023-04-27,ETHUSDT,1866.01,1940.96,1861.19,1908.68,727472.9466,1383094120.67767,959609
1682640000000,2023-04-28,ETHUSDT,1908.68,1923.88,1873.94,1890.94,387630.7791,736203306.614156,574483
1682726400000,2023-04-29,ETHUSDT,1890.93,1918.0,1883.05,1907.8,182046.1406,346028241.295737,335962
1682812800000,2023-04-30,ETHUSDT,1907.79,1939.0,1866.16,1870.09,355336.4888,677913240.814662,552933
1682899200000,2023-05-01,ETHUSDT,1870.08,1886.49,1806.12,1830.73,445519.1779,818821593.694849,647788
1682985600000,2023-05-02,ETHUSDT,1830.73,1881.87,1822.94,1870.08,373753.2027,690907892.110455,563768
1683072000000,2023-05-03,ETHUSDT,1870.09,1916.52,1842.64,1905.12,465185.2501,871222153.959792,751579
1683158400000,2023-05-04,ETHUSDT,1905.12,1918.26,1866.71,1877.07,354528.6144,670584503.6596191,525802
1683244800000,2023-05-05,ETHUSDT,1877.07,1998.36,1875.65,1993.3,546608.875,1061183389.068112,803612
1683331200000,2023-05-06,ETHUSDT,1993.3,2019.0,1860.0,1896.33,608106.9915,1169939393.312777,868626
1683417600000,2023-05-07,ETHUSDT,1896.33,1933.33,1867.59,1870.4,413268.8357,787566158.198456,625667
1683504000000,2023-05-08,ETHUSDT,1870.41,1883.97,1810.73,1847.56,625316.6168,1157603209.7618542,885693
1683590400000,2023-05-09,ETHUSDT,1847.55,1861.88,1830.99,1846.52,304396.186,561440259.790895,517737
1683676800000,2023-05-10,ETHUSDT,1846.53,1887.47,1790.51,1840.84,639933.3855,1182254717.032215,802140
1683763200000,2023-05-11,ETHUSDT,1840.83,1842.02,1772.68,1794.3,522096.0725,944525427.027942,679625
1683849600000,2023-05-12,ETHUSDT,1794.31,1818.63,1740.0,1807.45,565539.8309,1002104362.594411,696930
1683936000000,2023-05-13,ETHUSDT,1807.45,1817.03,1785.23,1795.11,212895.4373,383397322.74478096,342566
1684022400000,2023-05-14,ETHUSDT,1795.12,1824.0,1789.82,1799.21,218101.0977,393557662.80186,348092
1684108800000,2023-05-15,ETHUSDT,1799.2,1846.7,1785.05,1816.2,388171.9261,708011632.174709,503728
1684195200000,2023-05-16,ETHUSDT,1816.21,1832.64,1796.2,1824.21,311238.6786,565367254.106777,466058
1684281600000,2023-05-17,ETHUSDT,1824.21,1837.5,1783.68,1822.12,352097.9913,637776970.833855,524718
1684368000000,2023-05-18,ETHUSDT,1822.12,1831.92,1771.12,1800.56,293755.311,531357170.827152,480171
1684454400000,2023-05-19,ETHUSDT,1800.56,1829.54,1796.81,1812.32,243116.4676,440291732.350879,390917
1684540800000,2023-05-20,ETHUSDT,1812.31,1828.87,1807.06,1819.42,127754.4349,232010582.306628,272744
1684627200000,2023-05-21,ETHUSDT,1819.42,1828.98,1797.21,1804.91,161517.8053,292535613.878124,308391
1684713600000,2023-05-22,ETHUSDT,1804.91,1828.27,1792.01,1817.35,237498.9423,430673377.916653,411867
1684800000000,2023-05-23,ETHUSDT,1817.36,1872.5,1815.24,1854.05,396869.6097,734581474.7224659,548587
1684886400000,2023-05-24,ETHUSDT,1854.06,1854.09,1777.6,1799.89,420846.1445,761360360.597887,554307
1684972800000,2023-05-25,ETHUSDT,1799.89,1818.81,1761.41,1805.6,350633.0089,628769352.442571,482899
