Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1624320000000,2021-06-22,XRPUSDT,0.6068,0.65,0.509,0.5468,1611548012.73,924711210.060986,911507
1624406400000,2021-06-23,XRPUSDT,0.5468,0.6655,0.5203,0.6383,1167774271.66,718902393.384626,670601
1624492800000,2021-06-24,XRPUSDT,0.6383,0.6928,0.6163,0.6731,633338243.16,414531256.9778,444331
1624579200000,2021-06-25,XRPUSDT,0.6731,0.6889,0.6019,0.6111,795450033.45,507757434.41094494,524875
1624665600000,2021-06-26,XRPUSDT,0.611,0.6329,0.5814,0.6162,548990505.59,331034642.860335,343602
1624752000000,2021-06-27,XRPUSDT,0.6163,0.6523,0.5963,0.6484,472483880.77,291546469.959756,304252
1624838400000,2021-06-28,XRPUSDT,0.6483,0.6583,0.6238,0.6444,460033268.3,295080578.941469,295354
1624924800000,2021-06-29,XRPUSDT,0.6444,0.734,0.6417,0.7063,718445315.27,499125657.535112,525011
1625011200000,2021-06-30,XRPUSDT,0.7062,0.7145,0.6477,0.7063,634287485.15,430338352.853713,427023
1625097600000,2021-07-01,XRPUSDT,0.7062,0.7064,0.644,0.6591,463328799.28,308347617.586596,341155
1625184000000,2021-07-02,XRPUSDT,0.6592,0.6676,0.6329,0.6556,387562387.59,250197212.451509,247107
1625270400000,2021-07-03,XRPUSDT,0.6557,0.6849,0.6433,0.6732,329367273.74,220039385.468026,275661
1625356800000,2021-07-04,XRPUSDT,0.6733,0.7091,0.6655,0.696,334071078.78,231043551.519703,285278
1625443200000,2021-07-05,XRPUSDT,0.696,0.697,0.6444,0.6526,407839477.88,272157623.911145,279063
1625529600000,2021-07-06,XRPUSDT,0.6526,0.68,0.6511,0.6648,356111895.89,237002304.260219,232942
1625616000000,2021-07-07,XRPUSDT,0.6648,0.674,0.65,0.6522,284356433.42,189337257.938107,195887
1625702400000,2021-07-08,XRPUSDT,0.6521,0.6545,0.6108,0.6215,430925669.18,270371824.233761,270825
1625788800000,2021-07-09,XRPUSDT,0.6214,0.6457,0.5917,0.6369,358836803.69,222783584.324884,247826
1625875200000,2021-07-10,XRPUSDT,0.6369,0.6489,0.612,0.6246,279711260.06,175168807.399414,179676
1625961600000,2021-07-11,XRPUSDT,0.6246,0.6449,0.6169,0.6364,201320995.42,126735758.289656,148859
1626048000000,2021-07-12,XRPUSDT,0.6363,0.6575,0.6172,0.6288,356848391.96,227368047.087189,407660
1626134400000,2021-07-13,XRPUSDT,0.6288,0.6426,0.6086,0.6192,315648113.8,197239801.148567,295025
1626220800000,2021-07-14,XRPUSDT,0.6193,0.625,0.5851,0.6197,352306488.76,214004345.439567,290966
1626307200000,2021-07-15,XRPUSDT,0.6196,0.6269,0.5874,0.5979,339655984.05,205379901.265931,214760
1626393600000,2021-07-16,XRPUSDT,0.5979,0.6211,0.5874,0.5893,282511701.89,169475844.833166,238460
1626480000000,2021-07-17,XRPUSDT,0.5893,0.5977,0.56,0.5821,263418042.14,153250260.950617,223027
1626566400000,2021-07-18,XRPUSDT,0.5822,0.6016,0.571,0.5866,241849135.65,142185627.413456,170689
1626652800000,2021-07-19,XRPUSDT,0.5867,0.5889,0.5533,0.557,294780945.07,167395788.725372,189183
1626739200000,2021-07-20,XRPUSDT,0.557,0.5699,0.5157,0.5284,393704657.61,209159245.716989,252212
1626825600000,2021-07-21,XRPUSDT,0.5284,0.584,0.5193,0.5719,493423679.61,274778745.312626,291766
1626912000000,2021-07-22,XRPUSDT,0.5718,0.6033,0.5609,0.592,409238764.36,237900523.662438,244332
1626998400000,2021-07-23,XRPUSDT,0.592,0.6101,0.5753,0.6091,359561806.43,213508431.984355,266005
1627084800000,2021-07-24,XRPUSDT,0.6092,0.6205,0.5996,0.6085,319684922.3,194417445.849221,212798
1627171200000,2021-07-25,XRPUSDT,0.6085,0.6118,0.5906,0.6069,259034501.15,155812116.926149,161240
1627257600000,2021-07-26,XRPUSDT,0.6069,0.6793,0.6048,0.6234,803413949.18,521065033.907782,610823
1627344000000,2021-07-27,XRPUSDT,0.6234,0.6528,0.6121,0.6451,427078091.95,270446381.791156,300243
1627430400000,2021-07-28,XRPUSDT,0.645,0.7549,0.6308,0.7327,1172622702.04,832092412.281381,1330280
1627516800000,2021-07-29,XRPUSDT,0.7327,0.7665,0.697,0.7488,513356476.87,368115400.852823,732692
1627603200000,2021-07-30,XRPUSDT,0.7488,0.7697,0.7115,0.7521,604445794.9,447185226.73487,903944
1627689600000,2021-07-31,XRPUSDT,0.7522,0.7591,0.7367,0.746,377281828.25,282409913.796145,478625
1627776000000,2021-08-01,XRPUSDT,0.7461,0.7778,0.7042,0.7242,469477766.36,354676880.56225,439727
1627862400000,2021-08-02,XRPUSDT,0.7242,0.774,0.715,0.738,410656081.94,305390858.785136,541511
1627948800000,2021-08-03,XRPUSDT,0.738,0.745,0.7008,0.7136,398158150.61,285457695.687979,451148
1628035200000,2021-08-04,XRPUSDT,0.7136,0.7398,0.6952,0.731,330543019.03,237584357.639538,286411
1628121600000,2021-08-05,XRPUSDT,0.731,0.7389,0.701,0.7327,331894003.59,239492318.471074,287364
1628208000000,2021-08-06,XRPUSDT,0.7327,0.753,0.7219,0.7474,304988991.92,225134914.547848,288053
1628294400000,2021-08-07,XRPUSDT,0.7474,0.8189,0.7411,0.8162,589624594.72,463343332.664844,632865
1628380800000,2021-08-08,XRPUSDT,0.8163,0.8413,0.7717,0.7788,556138875.77,447885548.57686496,538544
1628467200000,2021-08-09,XRPUSDT,0.7788,0.8279,0.7596,0.817,474908832.08,382110622.319562,557017
1628553600000,2021-08-10,XRPUSDT,0.8169,0.8622,0.8,0.8511,503252613.21,417292098.62383294,615024
1628640000000,2021-08-11,XRPUSDT,0.8511,1.0906,0.848,1.0105,1131344973.99,1082107505.919323,1598959
1628726400000,2021-08-12,XRPUSDT,1.0106,1.045,0.9222,0.966,990869466.08,974967199.76355,1718713
1628812800000,2021-08-13,XRPUSDT,0.9661,1.0968,0.9501,1.0901,674407528.31,696016979.9700351,1180489
1628899200000,2021-08-14,XRPUSDT,1.0901,1.31,1.0691,1.2791,1408060485.32,1665378192.292437,2375959
1628985600000,2021-08-15,XRPUSDT,1.2788,1.35,1.2252,1.2839,1155282513.71,1485993854.110072,2070793
1629072000000,2021-08-16,XRPUSDT,1.2838,1.3288,1.1432,1.1855,912003805.45,1134779963.9944391,1451282
1629158400000,2021-08-17,XRPUSDT,1.1855,1.2479,1.085,1.0978,893360572.36,1044647325.972026,1163150
1629244800000,2021-08-18,XRPUSDT,1.098,1.1963,1.0501,1.1431,870414538.26,973083353.962184,1064942
1629331200000,2021-08-19,XRPUSDT,1.143,1.2355,1.0895,1.2347,723276976.29,833027094.558431,1007708
1629417600000,2021-08-20,XRPUSDT,1.2347,1.2897,1.1992,1.2629,594584554.01,740518731.2619289,909672
1629504000000,2021-08-21,XRPUSDT,1.2629,1.2835,1.2,1.2158,394160040.58,489884887.6497,736383
1629590400000,2021-08-22,XRPUSDT,1.2158,1.2557,1.1776,1.226,360176161.72,439116952.71153504,494834
1629676800000,2021-08-23,XRPUSDT,1.2258,1.3046,1.2024,1.2457,661403795.74,830621615.344627,1009456
1629763200000,2021-08-24,XRPUSDT,1.2456,1.2658,1.1212,1.1353,637760055.93,762644112.689952,820305
1629849600000,2021-08-25,XRPUSDT,1.1353,1.1779,1.1073,1.1735,530858362.99,610817777.128184,636609
1629936000000,2021-08-26,XRPUSDT,1.1735,1.1866,1.0636,1.0712,569965192.92,633927173.7246871,655176
1630022400000,2021-08-27,XRPUSDT,1.0713,1.1926,1.0501,1.1918,565739468.35,630214549.741496,645262
1630108800000,2021-08-28,XRPUSDT,1.1918,1.198,1.1329,1.1459,314618250.83,364699164.615611,357705
1630195200000,2021-08-29,XRPUSDT,1.1458,1.1683,1.112,1.1408,313294895.0,357866960.9484,357272
1630281600000,2021-08-30,XRPUSDT,1.1408,1.1488,1.0946,1.1002,364996870.0,411809728.9024,404186
1630368000000,2021-08-31,XRPUSDT,1.1005,1.2441,1.0907,1.1856,709823003.3,826987896.932631,933085
1630454400000,2021-09-01,XRPUSDT,1.1856,1.2384,1.158,1.2362,469917987.0,563037891.0848,811808
1630540800000,2021-09-02,XRPUSDT,1.2362,1.295,1.2216,1.2533,501596506.82,632172811.386001,864194
1630627200000,2021-09-03,XRPUSDT,1.2533,1.3235,1.2189,1.2907,526413570.07,674112638.880399,931021
1630713600000,2021-09-04,XRPUSDT,1.2906,1.2972,1.2352,1.2548,355870711.0,451197569.7524,543380
1630800000000,2021-09-05,XRPUSDT,1.2548,1.3125,1.2361,1.3076,335187953.0,427279713.9735,598420
1630886400000,2021-09-06,XRPUSDT,1.3075,1.4151,1.3065,1.3894,710855257.92,967534789.847962,1501496
1630972800000,2021-09-07,XRPUSDT,1.3894,1.3922,0.9524,1.1292,1297978123.89,1530457369.035018,2046088
1631059200000,2021-09-08,XRPUSDT,1.129,1.148,1.0133,1.0998,794455994.0,865948220.4902,1185159
1631145600000,2021-09-09,XRPUSDT,1.0999,1.1377,1.0619,1.0868,604426508.0,668447113.2499,761515
1631232000000,2021-09-10,XRPUSDT,1.0868,1.245,1.03,1.0552,901671116.0,1007065760.5272,1396357
1631318400000,2021-09-11,XRPUSDT,1.0552,1.12,1.0503,1.0787,336502704.0,364352999.4019,547449
1631404800000,2021-09-12,XRPUSDT,1.0788,1.1276,1.0576,1.1181,324049191.0,355164242.8765,474119
1631491200000,2021-09-13,XRPUSDT,1.1181,1.1266,1.025,1.0643,510682363.0,542699043.4266,664695
1631577600000,2021-09-14,XRPUSDT,1.0644,1.0978,1.0566,1.0963,275908113.0,296824863.0249,370467
1631664000000,2021-09-15,XRPUSDT,1.0962,1.13,1.0784,1.1207,289063987.0,318565154.1035,416645
1631750400000,2021-09-16,XRPUSDT,1.1207,1.13,1.0662,1.0902,302954441.0,334126208.1512,425073
1631836800000,2021-09-17,XRPUSDT,1.0903,1.1025,1.0509,1.0661,297933223.0,320042162.7333,352627
1631923200000,2021-09-18,XRPUSDT,1.0663,1.0952,1.0562,1.0751,195352031.0,210969782.0848,249856
1632009600000,2021-09-19,XRPUSDT,1.0752,1.0837,1.0383,1.0483,211015299.0,224922100.167,278563
1632096000000,2021-09-20,XRPUSDT,1.0483,1.0497,0.8738,0.9216,837287959.74,792700101.401447,1114773
1632182400000,2021-09-21,XRPUSDT,0.9216,0.9593,0.8582,0.8743,632313366.81,577784882.95354,840319
1632268800000,2021-09-22,XRPUSDT,0.874,1.0094,0.8679,1.0033,606417695.0,574463634.2947,843137
